,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
40,40,21.256385803222656,2025-02-19 19:51:45.550156,2025-02-19 19:52:07.835358,0 days 00:00:22.285202,0.205961680092736,0.0010097303764873367,0.08702055743378166,3.0617769598146265,COMPLETE
41,41,21.303754091262817,2025-02-19 19:52:07.857057,2025-02-19 19:52:30.235541,0 days 00:00:22.378484,0.12224719727977264,0.0018450537486607663,0.18586879188061514,14.057657196622698,COMPLETE
42,42,21.210330724716187,2025-02-19 19:52:30.250773,2025-02-19 19:52:52.491222,0 days 00:00:22.240449,0.32894348361919856,0.0024443903774031177,0.08499614931960615,10.906074030395382,COMPLETE
43,43,21.101882457733154,2025-02-19 19:52:52.512259,2025-02-19 19:53:14.735151,0 days 00:00:22.222892,0.36351184075348125,0.0013730920325743105,0.09813948591028757,5.725198554652937,COMPLETE
44,44,21.245038747787476,2025-02-19 19:53:14.759534,2025-02-19 19:53:37.129418,0 days 00:00:22.369884,0.3584887113709637,0.0014767315373607108,0.11372514831417511,5.0479847354048175,COMPLETE
45,45,21.16095781326294,2025-02-19 19:53:37.153519,2025-02-19 19:53:59.394212,0 days 00:00:22.240693,0.2564771305113981,0.0014173527146353836,0.3558671702686856,5.746630479552034,COMPLETE
46,46,21.57355237007141,2025-02-19 19:53:59.414796,2025-02-19 19:54:22.055432,0 days 00:00:22.640636,0.25645094461696166,0.0014282204758377063,0.5413680924253912,18.697153694155666,COMPLETE
47,47,21.61114001274109,2025-02-19 19:54:22.079100,2025-02-19 19:54:44.744948,0 days 00:00:22.665848,0.14982188300350735,0.001412957393805245,0.45935677814793063,3.7259454399181555,COMPLETE
48,48,21.698630809783936,2025-02-19 19:54:44.773850,2025-02-19 19:55:07.600066,0 days 00:00:22.826216,0.35671824503394395,0.0019880718517085996,0.16446703320591158,2.0938105804064966,COMPLETE
49,49,20.94027543067932,2025-02-19 19:55:07.629801,2025-02-19 19:55:29.644212,0 days 00:00:22.014411,0.09016356654732524,0.0037403898526145417,0.2666583395951076,15.152210073043879,COMPLETE
50,50,21.149537801742554,2025-02-19 19:55:29.672904,2025-02-19 19:55:51.845487,0 days 00:00:22.172583,0.09987484878951464,0.0013671345661965127,0.36548855566038174,5.892181426042031,COMPLETE
51,51,21.318103790283203,2025-02-19 19:55:51.877336,2025-02-19 19:56:14.261543,0 days 00:00:22.384207,0.08487856815403842,0.0037478196267148422,0.11454791361075516,14.633823446309947,COMPLETE
52,52,21.265620231628418,2025-02-19 19:56:14.288943,2025-02-19 19:56:36.673898,0 days 00:00:22.384955,0.05016998487800432,0.0014561291001386123,0.28873777600847633,6.223997549721417,COMPLETE
53,53,21.058385848999023,2025-02-19 19:56:36.707256,2025-02-19 19:56:58.832419,0 days 00:00:22.125163,0.1296637987373559,0.001008153989088985,0.4258405371365641,9.30640536410951,COMPLETE
54,54,21.310302734375,2025-02-19 19:56:58.859269,2025-02-19 19:57:21.238112,0 days 00:00:22.378843,0.13799840569969676,0.0021152290492747797,0.6669055211368832,9.168329380167041,COMPLETE
55,55,21.192545413970947,2025-02-19 19:57:21.266436,2025-02-19 19:57:43.500174,0 days 00:00:22.233738,0.09940039435356503,0.0016980200648434788,0.23214603474446413,13.304237922315634,COMPLETE
56,56,21.18149709701538,2025-02-19 19:57:43.529067,2025-02-19 19:58:05.785181,0 days 00:00:22.256114,0.04654040294000589,0.0010915110743334932,0.1403802784977001,8.97433194018702,COMPLETE
57,57,21.250412940979004,2025-02-19 19:58:05.814106,2025-02-19 19:58:28.131435,0 days 00:00:22.317329,0.11909089172187559,0.0022646870139980202,0.2309282966809358,16.18214540170235,COMPLETE
58,58,21.499603509902954,2025-02-19 19:58:28.154969,2025-02-19 19:58:50.689772,0 days 00:00:22.534803,0.15841478510440446,0.0010070249354471972,0.8755021307793627,7.317275181372036,COMPLETE
